Ability,Short Description
Abomination,"The Character gains Terror [This Char's willpower +4] in battle. This Terror affect both friendly and enemy chars. Can reroll Intimidation rolls, can only reroll once as a result of Abomination."
Ace Commander,This character gains an additional quick action each turn that can be used only to drive a 'jack.
Acrobatics,The character can advance through other characters if he has enough movement to move completely past their bases. The character also gains a +3 on Jumping skill rolls.
Adaptable (Urban),"In an urban environment, Character can reroll failed Climbing and Jumping rolls. Each roll can only be rerolled once as a result of Adaptable (Urban)"
Adjust Aim,"If this character misses with a bow ranged attack, he gains +2 to his next ranged attack roll with a bow that turn."
Advance Move,"At the start of combat before initiative is rolled, this character can make a full advance."
Advisor,"While B2B with this character, friendly characters gain +1 to their Command Range."
Aegis,This character is immune to continuous effects.
Always a Deal to be Made,"When making a deal that involves buying or selling goods or services using Negotiation, treat any result worse than ""Fail"" as ""Fail"""
Ambush,"During the first round of an encounter, this character gains boosted attack and damage rolls against enemies that have not yet activated."
Anatomical Precision,"When the character hits a living target with a melee attack but the damage roll fails to exceed the target's ARM, the target suffers d3 damage points instead of the damage rolled."
Applied Knowledge,"When a friendly character in this character’s command range hits a target with an attack, the friendly character chooses the branch of the target’s life spiral or the column of the target’s damage grid that is hit, if applicable."
Appraise,"You have a sharp eye, especially where values are concerned. You can judge the value of most fine goods with an inspection. Good fakes might require a Detection + INT roll to spot."
Arcane Assassin,"When making attacks, this character ignores focus points overboosting the target's power field and spell effects adding to its ARM or DEF."
Arcane Defenses,This character gains +3 ARM against magic attacks.
Arcane Engineer,The character can re-roll failed Mechanikal Engineering rolls.
Arcane Precision,"When this character forfeits his movement to aim with a ranged weapon, he ignores stealth that turn."
Arcane Rider,This character does not suffer the firing from horseback penalty when making magic attacks while mounted.
Arcane Scholar,The character can have a number of spells equal to his INT x3.
Archer,Character can forfeit his movement to make one additional ranged attack with a bow
Arcing Shot,"When making a ranged attack with a bow, this character can ignore intervening characters and cover, except those within 6 feet (1˝) of the target."
Artificer,This character can create wolds (p. 254).
Astute,The character can re-roll failed Detection rolls.
Authority,A character with this ability gains +2 on social skill rolls when dealing with other Menties.
Backstab,This character gains an additional die on his back strike damage rolls.
Balm of Dhunia,This character can reroll failed Animal Handling and Medicine skill rolls. Each failed roll can be rerolled only once as a result of Balm of Dhunia.
Battle Commander,This character can use one battle plan during each of his turns without spending a feat point.
