Spell,Cost,RNG,AOE,POW,UP,OFF,Notes
Admonition,2,6,-,-,YES,NO,"When enemy advances and ends mov. Within 6"" of target char in caster's battle grp, Affected char can immediately adv. 3"" then Admonition expires. No freestrikes during this move."
Affliction,3,8,-,-,YES,YES,"When a direct hit dmg roll fails to exceed ARM of affected character, target takes d3 damage."
Aggravator,3,SELF,CTRL,-,YES,NO,"While in caster's control area, friendly warbeasts gain Hyper Aggressive. (When a char with Hyper Aggressive suffers dmg from an enemy attack except while moving, it can full advance directly toward the attacker.)"
Agitation,3,SELF,CTRL,-,NO,NO,Place 1 fury on each enemy warbeast currently in CTRL. Cannot exceed FURY. Can only cast once per turn.
Annihilation,4,10,3,10,NO,YES,"Characters hit suffer POW 10 dmg rolls. If caster can gain soul token, caster gains soul tokens for those destroyed by spell."
Arcane Blast,3,10,3,13,NO,YES,A magical energy blast radiates from a single point to strike all characters in the AOE.
Arcane Bolt,2,12,-,11,NO,YES,Magical bolts of energy streak toward the target.
Arcane Strike,1,8,-,8,NO,YES, 
Arcantrik Bolt,2,10,-,12,NO,YES,Steamjack damaged becomes stationary for 1 round.
Ashen Cloud,2,CTRL,3,-,YES,NO,Place a 3” AOE cloud effect anywhere completely in the spellcaster's control area.  Characters without Immunity: Fire suffer -2 on attack rolls while within the AOE.
Ashes to Ashes,4,8,*,10,NO,YES,"If the target is hit, he and d6 of the nearest enemies within 5” of the target suffer a POW 10 fire damage roll."
Ashen Veil,2,6,-,-,YES,NO,"Target friendly character gains concealment. Living enemies suffer -2 to attack rolls while within 2"" of an affected character."
Aura of Protection,2,SELF,CTRL,-,YES,NO,"While in CTRL area, friendly characters gain +2 ARM."
Awakened Spirit,2,6,-,-,YES,NO,Warbeast in battlegroup can cast it's animus once without being forced during its activation.
Awareness,3,SELF,CTRL,-,NO,NO,"While in the spellcaster's control area, the front arc of characters in his battlegroup is extended to 360˚.  When determining LOS those characters ignore cloud effects, forests, and intervening characters.  Awareness lasts for one round."
Bad Blood,2,10,-,-,YES,YES,Warlock leaching from target warbeast suffers 1 damage per FURY leached. Warbeast cannot have damage transferred to it or regain vitality.
Backlash,3,8,-,12,YES,YES,"When Backlash damages a bonded enemy  warjack, its controller suffers 1 dmg"
Banishing Ward,2,6,-,-,YES,NO,Enemy upkeep spells on the targeted friendly character expire.  The affected character cannot be targeted by enemy spells or Animi.
Barrier of Flames,3,SELF,CTRL,-,NO,NO,"Friendly characters in the spellcaster's control area gain +1 DEF.  When a friendly character is hit with a melee attack while in the spellcaster's control area, the attacker suffers the Fire continuous effect.  Barrier of Flames lasts one round."
Batten Down the Hatches,3,SELF,CTRL,-,NO,NO,"While in the spellcaster's control area, friendly characters in his battlegroup cannot be knocked down and gain +3ARM but suffer -2 DEF.  Batten Down the Hatches lasts one round."
Battering Ram,2,6,-,12,NO,YES,When a character is hit by Battering Ram it can be pushed 3” directly away from the spell's point of origin.
Battle Charged,2,SELF,CTRL,-,YES,NO,"While in caster's control area, friendly warbeasts gain Counter Charge. (When an enemy advances and ends movement within 6"" and LOS of a char with Counter Charge, the char can immediately charge the enemy. Can only Counter Charge once per round. Cannot Counter Charge while engaged.)"
Battle Rage,3,6,-,-,NO,NO,Target friendly living character gains +2 to his melee attack rolls and becomes Fearless. Battle Rage lasts for one round.
Bestial,3,SELF,CTRL,-,NO,NO,"While in caster's control area, enemies cannot cast or channel spells. Bestial lasts for one round."
Black Out,4,SELF,CTRL,-,NO,NO,"Mechanika devices in the possession of enemy characters in the spellcaster's control area immediately deactivate.  If an enemy enters the spellcaster's control area, Mechanika devices in his possession immediately deactivate.  While in the spellcaster's control area, enemy characters cannot activate mechanika devices.  Black Out has no effect on steamjacks or mechanika armor.  Black out lasts for one round."
Blade of Radiance,2,10,–,10,NO,YES,Infernal and Undead characters hit by this spell suffer an additional die of damage.
Blaze of Glory,2,SELF,CTRL,-,YES,NO,"While in the spellcaster's control area, the weapons of characters in his battlegroup become magical weapons."
Blazing Effigy,4,SELF,*,14,NO,NO,Enemies within 2” of target friendly character suffer a POW 14 fire damage roll.
Bleed,2,8,-,10,NO,YES,"When spell damages living character, caster gains d3 vitality."
Blessing of Health,1,6,–,-,YES,NO,"Target characters gains +3 on PHY rolls to resist poison, disease and infection.  Additionally, if the affected character is currently suffering from the effects of poison, he immediately makes a PHY roll against the toxin rating of the poison.  If the roll succeeds, the effects of the poison immediately expire."
