Weapon,Type,Ammo,Eff Rng,Ex Rng,Skill,Att Mod,POW,AOE,Special Rules,Cost
Assault Kommando Flamethrower,Ranged,10,SP8,–,Light Artillery,0,12,-,"Char -1SPD & DEF, target suffer Cont fire effect",50
"Axe, Throwing",Ranged,–,"6""",–,Thrown Weapon,0,3,-,Add STR to POW.  Can be used in melee.,12
Blowtorch,Ranged,10 Turns,".5""",–,Pistol,-1,10,-,Fire Dmg. Crit Fire Continuous. Pg 60 NQ45,15
Blunderbuss,Ranged,1 heavy,8”,40”,Rifle,-1,12,-,-2 weapon mod if fired one-handed,30
Bola,Ranged,–,8”,–,Thrown Weapon,-2,0,-,add the throwers STR to POW.,5
Bomb Lance,Ranged,1 Harpoon,"8""","40""",Light Artillery,-2,12,-,"On hit place 3"" AOE on tar. all hit take pow 6 dmg",30
Bombardier Grenade Cannon,Ranged,1,"10""","50""",Light Artillery,-1,14,3,"STR 7, 2hand only",300
Bow,Ranged,1,10”,50”,Archery,0,10,-,Requires 2 hands,20
"Bow, Great",Ranged,1,"10""","50""",Archery,0,12,-,Requires 2 hand. STR of 6 to use.,45
"Cannon, Light",Ranged,1 heavy,"15""","75""",Light Artillery,0,13,3,"see p. 95 Kings, Nations and Gods",170
"Cannon, Royal Weight-Canistor Shot",Ranged,1 heavy,SP10,-,Heavy Artillery,0,14,-,,700
"Cannon, Royal Weight-Cannonball",Ranged,1 heavy,"20""","100""",Heavy Artillery,-2,18,-,"regardless of base size char slammed d6"", Collateral damage is POW18.",700
"Cannon, Royal Weight-Chain shot",Ranged,1 heavy,"14""",-,Heavy Artillery,-4,14,4,causes knockdown,700
"Cannon, Royal Weight-Incendiary Shot",Ranged,1 heavy,"20""","100""",Heavy Artillery,-2,14,4,Fire Continuous effect,700
"Cannon-Axe, Man-O-War",Ranged,1 heavy,8”,40”,Light Artillery,-1,14,-,STR 7,45
Cannon-Shield,Ranged,1 heavy,8”,40”,Rifle,-2,12,-,see p. 262,45
"Cannon-Shield, Man-O-War",Ranged,1 heavy,"6""",-,Light Artillery,-1,14,-,"STR 7, +1 ARM",110
Carbine,Ranged,5 MCLR,10”,"50""",Rifle,0,10,-,see p. 262,60
Chain Gun,Ranged,30,10”,"50""",Light Artillery,0,10,-,"Requires 2H, See p94 Kings, Nations and Gods",180
Crossbow,Ranged,1,"10""","50""",Crossbow,0,12,-,-2 weapon mod if fired one-handed,20
"Crossbow, Lawbringer",Ranged,10,"10""","50""",Crossbow,-1,10,-,requires 2 hands,45
"Crossbow, Repeating",Ranged,6,"10""","50""",Crossbow,-1,10,-,Requires 2 hands,30
Crucible Arms Model 603,Ranged,8,"10""","50""",Rifle,0,11,-,STR 6,225
Deck Gun,Ranged,1,"14""","70""",Light Artillery,0,13,3,"2hands, char -2SPD & DEF",150
Dual Magelock Pistol,Ranged,2,"10""","50""",Pistol,0,10,-,KNG 244,280
Dueling Pistols,Ranged,1 Light,"10""","50""",Pistol,0,10,-,+1 to attack if shooting custom round,100
Field Gun,Ranged,1,"16""","80""",Light Artillery,0,14,-,"2 handed, tripod mounted, char -2SPD",120
Fire Bomb,Ranged,1,"5""",-,Thrown Weapon,-2,12,3,"1 quick & attack action to use, Crit: fire continuous effect",8
Flare Pistol,Ranged,1 Flare,"6 ""","30""",Pistol,-3,*,*,See Pg 62 NQ45,25
"Grenade, Concussion",Ranged,–,8”,–,Thrown Weapon,0,–,3,see p. 263,20
"Grenade, Explosive",Ranged,–,8”,–,Thrown Weapon,0,12,3,see p. 264,10
"Grenade, Smoke",Ranged,–,8”,–,Thrown Weapon,0,–,3,see p. 264,5
"Grenade, Strangle Gas",Ranged,–,8”,–,Thrown Weapon,0,–,3,see p. 264,20
Gun Axe,Ranged,1 heavy,8”,40”,Rifle,-1,12,-,See p. 264 and 265.,80
Hand Cannon,Ranged,1 heavy,12”,60”,Pistol,0,12,-,,100
"Hand Cannon, Dual",Ranged,2 Heavy,12”,60”,Pistol,0,12,-,see p. 265.,250
Harpoon Gun,Ranged,1 *,"10""",20”,Rifle,-2,12,-,see p. 265.,35
Injection Pistol,Ranged,1 Injector,"4""",-,Pistol,-2,8,-,See FMF 1.2.2,125
Javelin,Ranged,–,8”,–,Thrown Weapon,0,3,-,Add STR to POW.,5
"Knife, Throwing",Ranged,–,8”,–,Thrown Weapon,0,2,-,Add STR to POW.  Can be used in melee.,8
